DATA DE FECHAMENTO;MÊS;ANO;VALOR
12/12/2020 00:00;12;20;3600
14/12/2020 00:00;12;20;3620
14/12/2020 00:00;12;20;3700
14/12/2020 00:00;12;20;3740
14/12/2020 00:00;12;20;4010
14/12/2020 00:00;14;20;0
14/12/2020 00:00;12;20;4010
15/12/2020 00:00;12;20;4220
15/12/2020 00:00;12;20;4410
16/12/2020 00:00;12;20;4410
16/12/2020 00:00;12;20;4640
16/12/2020 00:00;12;20;4660
16/12/2020 00:00;12;20;4680
16/12/2020 00:00;12;20;4730
17/12/2020 00:00;12;20;4790
17/12/2020 00:00;12;20;4870
17/12/2020 00:00;12;20;4950
17/12/2020 00:00;12;20;5120
17/12/2020 00:00;12;20;5190
18/12/2020 00:00;12;20;5310
18/12/2020 00:00;12;20;5310
18/12/2020 00:00;12;20;5350
18/12/2020 00:00;12;20;5530
18/12/2020 00:00;12;20;5670
19/12/2020 00:00;12;20;5790
19/12/2020 00:00;12;20;5830
19/12/2020 00:00;12;20;5860
19/12/2020 00:00;12;20;5880
19/12/2020 00:00;12;20;5880
22/12/2020 00:00;12;20;6270
22/12/2020 00:00;12;20;6630
22/12/2020 00:00;12;20;6630
22/12/2020 00:00;12;20;6630
22/12/2020 00:00;12;20;6830
22/12/2020 00:00;12;20;6870
23/12/2020 00:00;12;20;7200
23/12/2020 00:00;12;20;7360
23/12/2020 00:00;12;20;7360
23/12/2020 00:00;12;20;7380
24/12/2020 00:00;12;20;8190
24/12/2020 00:00;12;20;8190
24/12/2020 00:00;12;20;8190
26/12/2020 00:00;12;20;8410
26/12/2020 00:00;12;20;8540
26/12/2020 00:00;12;20;8540
26/12/2020 00:00;12;20;8540
26/12/2020 00:00;12;20;8620
28/12/2020 00:00;12;20;8970
28/12/2020 00:00;12;20;9110
28/12/2020 00:00;12;20;9166
28/12/2020 00:00;12;20;9206
28/12/2020 00:00;12;20;9226
29/12/2020 00:00;12;20;9466
29/12/2020 00:00;12;20;9506
29/12/2020 00:00;12;20;9676
29/12/2020 00:00;12;20;9676
29/12/2020 00:00;12;20;9676
30/12/2020 00:00;12;20;9766
30/12/2020 00:00;12;20;9766
30/12/2020 00:00;12;20;9826
30/12/2020 00:00;12;20;9986
30/12/2020 00:00;12;20;10106
30/12/2020 00:00;12;20;10106
30/12/2020 00:00;12;20;10106
30/12/2020 00:00;12;20;10126
31/12/2020 00:00;12;20;10286
31/12/2020 00:00;12;20;10346
31/12/2020 00:00;12;20;10366
31/12/2020 00:00;12;20;10666
31/12/2020 00:00;12;20;10726
02/01/2021 00:00;12;20;10726
02/01/2021 00:00;1;21;100
02/01/2021 00:00;1;21;280
02/01/2021 00:00;12;20;10796
04/01/2021 00:00;1;21;420
04/01/2021 00:00;1;21;630
04/01/2021 00:00;1;21;650
05/01/2021 00:00;1;21;840
05/01/2021 00:00;1;21;920
06/01/2021 00:00;12;20;10796
06/01/2021 00:00;1;21;1150
06/01/2021 00:00;1;21;1380
06/01/2021 00:00;1;21;1400
07/01/2021 00:00;1;21;1512
07/01/2021 00:00;1;21;1682
07/01/2021 00:00;12;20;10796
07/01/2021 00:00;1;21;1682
07/01/2021 00:00;1;21;1722
08/01/2021 00:00;1;21;1722
08/01/2021 00:00;1;21;1782
08/01/2021 00:00;1;21;1842
08/01/2021 00:00;1;21;2102
08/01/2021 00:00;1;21;2142
08/01/2021 00:00;1;21;2162
09/01/2021 00:00;1;21;2312
09/01/2021 00:00;1;21;2352
09/01/2021 00:00;1;21;2722
11/01/2021 00:00;1;21;2892
11/01/2021 00:00;1;21;2892
11/01/2021 00:00;12;20;10796
12/01/2021 00:00;1;21;3022
12/01/2021 00:00;1;21;3062
12/01/2021 00:00;1;21;3082
12/01/2021 00:00;1;21;3152
12/01/2021 00:00;1;21;3152
13/01/2021 00:00;1;21;3152
13/01/2021 00:00;1;21;3332
13/01/2021 00:00;1;21;3382
14/01/2021 00:00;1;21;3822
15/01/2021 00:00;1;21;3822
15/01/2021 00:00;1;21;4034
